NER_imbalanced_finetuning_(75%+75%),,,,,,
Seed: 1787671505,,,,,,
,Precision (Our),Recall (Our),F1 (Our),Precision (Zenodo),Recall (Zenodo),F1 (Zenodo)
B-CLIN_COND,0.884909,0.944705,0.913830,0.554773,0.309337,0.397199
I-CLIN_COND,0.892220,0.962097,0.925842,0.642427,0.264779,0.375000
B-MED_REP,0.876960,0.917205,0.896631,0.663030,0.441264,0.529879
I-MED_REP,0.907460,0.951969,0.929182,0.556032,0.412490,0.473624
OVERALL,0.890387,0.943994,0.916371,0.604066,0.356968,0.443926
